bpm,energy,danceability
147,63,72
143,20,80
180,53,68
85,48,56
135,68,67
152,67,57
105,74,66
120,85,57
78,80,59
112,50,73
112,60,61
134,74,56
88,74,56
76,71,41
84,69,36
139,83,37
120,38,94
115,98,69
120,72,58
85,75,68
140,51,88
121,46,93
89,58,54
120,71,64
113,82,56
126,65,72
78,69,62
91,77,78
119,56,81
96,57,68
78,50,65
140,80,59
85,58,67
110,64,61
112,82,56
120,82,49
124,80,40
127,71,61
110,76,62
158,59,68
131,58,34
140,82,67
156,52,57
120,25,53
109,75,75
79,62,56
77,54,43
80,79,80
82,84,69
80,47,83
150,91,64
82,50,70
89,67,70
92,23,67
154,56,64
150,88,74
150,81,35
126,80,64
164,74,43
74,64,42
107,63,81
115,75,61
105,74,73
132,64,65
94,60,50
100,51,92
75,47,61
136,84,55
130,60,32
148,63,67
139,88,47
127,87,59
146,54,44
145,87,62
90,15,54
82,37,72
82,56,45
117,71,56
78,62,79
135,57,68
130,37,57
108,89,53
135,57,55
120,52,85
127,46,57
89,54,67
154,62,46
103,13,51
104,55,81
89,51,67
102,58,57
72,80,41
100,72,61
96,42,92
160,52,59
84,40,56
122,67,83
145,36,51
132,62,57
91,73,49
120,81,54
132,63,63
126,46,79
130,73,84
176,83,45
160,53,40
111,59,75
144,43,73
117,54,87
124,53,67
100,61,80
126,53,63
136,98,71
165,30,75
166,58,72
172,88,69
100,71,75
144,63,53
136,64,67
134,80,42
137,61,70
188,46,55
99,59,66
103,26,69
110,70,67
174,94,55
74,83,83
87,97,63
133,45,24
133,64,79
172,82,63
127,55,82
126,58,79
172,93,67
116,52,62
121,71,72
83,72,62
116,77,53
92,67,73
135,42,74
119,46,75
77,33,37
172,90,69
93,44,76
124,58,83
136,94,63
95,46,71
120,71,76
94,56,78
99,65,67
80,7,61
152,65,48
148,69,38
151,92,43
77,81,50
124,59,65
127,77,53
103,30,51
95,71,82
85,67,60
118,14,25
113,56,76
174,42,34
137,59,83
96,73,73
120,79,80
180,67,70
103,50,69
93,65,74
100,81,88
103,72,83
174,92,59
113,64,70
125,56,78
186,64,33
81,43,81
123,46,56
95,65,69
172,86,65
87,89,84
119,56,54
100,86,95
97,47,88
115,93,69
80,34,38
105,90,74
112,88,74
113,14,30
94,64,44
75,39,59
153,99,65
130,88,74
124,87,87
128,53,55
79,76,71
172,86,72
107,79,70
82,58,50
177,80,67
123,81,47
77,66,51
170,81,65
90,73,66
138,77,84
100,75,75
100,75,80
110,76,66
128,71,77
115,72,67
169,88,77
132,92,78
153,74,62
155,75,73
164,31,65
126,90,80
143,95,69
126,77,62
134,96,78
145,96,69
146,95,67
180,75,59
97,61,94
83,54,34
139,93,78
99,57,83
118,67,72
92,74,80
92,73,80
83,59,83
74,49,87
130,88,91
121,40,54
130,73,84
102,68,88
93,83,79
116,84,88
126,52,81
170,85,66
172,96,59
137,75,54
175,89,41
137,42,70
100,45,71
111,74,77
128,56,53
176,19,34
112,67,91
95,88,59
128,41,88
123,55,51
112,52,71
118,59,80
94,90,57
89,57,38
84,50,44
172,96,53
106,62,44
137,26,37
116,77,51
181,56,45
157,43,45
135,42,33
83,77,56
140,85,76
153,54,48
90,77,24
140,68,80
92,63,69
174,77,67
123,81,48
100,64,56
100,49,41
98,67,73
104,32,84
100,61,87
90,90,41
110,98,62
172,98,62
161,38,47
85,61,81
173,88,70
130,47,96
81,72,68
97,83,69
92,86,58
110,58,55
107,29,55
132,57,71
120,84,67
130,56,68
91,30,64
88,50,29
80,40,23
145,49,39
106,7,51
139,7,61
100,69,55
120,72,81
135,60,75
130,43,69
186,95,54
86,65,59
81,44,52
86,46,87
127,31,49
108,74,68
97,15,52
72,7,40
80,18,44
60,11,43
176,81,30
104,81,81
90,51,68
73,28,61
96,48,84
126,99,73
127,82,83
94,65,69
122,83,62
124,73,86
124,44,96
108,86,96
92,82,77
124,70,81
202,72,28
135,54,80
117,77,72
75,58,47
94,51,70
128,90,82
115,74,82
126,45,77
172,80,61
142,72,78
142,67,75
93,71,44
200,53,56
96,92,55
102,62,74
72,44,36
89,40,81
89,84,84
113,72,86
148,33,50
114,79,51
91,51,66
82,25,44
77,66,84
119,58,45
179,44,38
122,53,80
115,62,74
98,55,31
174,81,78
135,54,93
138,75,62
