name,price,status,shipping,free_returns,itemssold
,,,,False,
Post Mid Century Modern Glass Waterfall Coffee Table,120000,Pre-Owned,,False,
Antique Furniture Factory Cart-Industrial Railroad-Coffee table Lineberry ,39500,,,False,0
Vintage baker furniture Drop Leaf Coffee Table,20000,Pre-Owned,,False,
Mainland Smith Coffee Table,87500,Pre-Owned,,False,0
Antique Coffee Table￼ Victorian Carved And Ornate Glass Tray Cherubs Gargoyles,50000,Pre-Owned,,False,0
New ListingVintage 1980’s Round Brass + Glass Coffee Table + Side Tables Set,55000,Pre-Owned,,False,
Antique Coffee Table,20000,,,False,
FANTASTIC Mid Century POST Modern TRAVERTINE Coffee Table BASE Triangle NO GLASS,22222,Pre-Owned,7995,False,
Antique Oval Marble Top Coffee Table #2,35000,Pre-Owned,,False,0
antique chinese coffee table,40000,Pre-Owned,,False,
Brandt Hollywood Regency Coffee Table Faux Bamboo,32500,Pre-Owned,,False,0
Mid-Century Gold Gilt Wheat Sheaf Coffee Table Hollywood Regency Italy Vintage,35000,Pre-Owned,,False,
Antique Furniture Factory Cart Coffee Table Industrial Railroad Lineberry ,99500,Refurbished,,False,0
Antique vintage warehouse/railroad cart coffee table,85000,Pre-Owned,,False,
VINTAGE HAND CARVED WOOD COFFEE TABLE BEAUTIFUL!!,20000,Pre-Owned,,False,
Wrought Iron Glass Top Coffee Table,49900,Pre-Owned,,False,
Tessellated Stone Coffee table 3pc set,62500,Pre-Owned,,False,
VINTAGE ETHAN ALLEN BUTLER'S TRAY COFFEE TABLE,37500,Pre-Owned,,False,
Beautiful Rare Vintage Carved Wood Mirror Coffee Table,12500,Pre-Owned,,False,
Antique French grain scale coffee table ,40000,Pre-Owned,,False,
Vintage Marble Top Coffee Table Oval With Floral Carvings,30000,Pre-Owned,,False,
antique coffee table,90000,Pre-Owned,,False,
Vintage Brass And Glass Coffee Table Mid Century Hollywood Regency (best guess),79900,Pre-Owned,,False,
Mid-Century Modern Teak and Slate Coffee Table MCM Square Danish Modern Style,57500,,,False,
BAKER CHINOISERIE CHINESE CHIPPENDALE COCKTAIL COFFEE TABLE ASIAN REGENCY,50000,Pre-Owned,,False,
Large Square Solid Wood Coffee Table,19500,Pre-Owned,,False,
french Mahoghany Coffee Table,42500,Pre-Owned,10000,False,
Baker Oriental Style Coffee Table,39500,,,False,0
"New ListingHand Carved Wood Barley Twist Side Display Coffee Table Pedestal Plant Stand 36""",29900,Pre-Owned,4500,False,
Vintage Mid Century Coffee Table ,12500,,,False,0
vintage coffee table,25000,Pre-Owned,,False,
Vintage Walnut Carved Poseidon Coffee Table with glass Serving Butler tray ,29500,Pre-Owned,,False,
Beautiful benchwright mahogany coffee table in GREAT condition .,35000,Pre-Owned,,False,
Italian Travertine Coffee Table -Vintage Mid Century Modern ,324000,Pre-Owned,,False,0
Vintage Brass Coffee Table on Spider Leg stand,29000,Pre-Owned,,False,0
Antique 1800s Eastlake Victorian Marble Top Coffee Table ,10000,,,False,0
BRASILIA by BROYHILL RECTANGULAR WALNUT COFFEE COCKTAIL TABLE,45000,Pre-Owned,,False,0
