name,price,status,shipping,free_returns,itemssold
,,,,False,
"TCL 43"" 4K Ultra HD HDR Roku Smart LED TV *43S435",29460,New (Other),0,False,0
"LED HD TV 32"" Inch Flat Screen HDTV Wall Mountable USB HDMI Class HD 720P Black",15497,Brand New,0,False,0
"VIZIO 50"" Class 4K (2160p) Smart LED TV (V505-J09)",31999,Refurbished,0,True,0
"TCL 50S435 50"" 4K Ultra HD HDR Roku Smart LED TV",39995,Brand New,0,False,116
"New Sceptre 19"" Class HD (720P) LED TV Flat Screen Television w/ Remote ",11652,Brand New,0,True,0
"Samsung AU8000 65"" 4K Ultra HD HDR Smart LED TV - 2021 Model",74799,Brand New,0,False,93
Vintage RCA  B&W Solid State CRT TV Retro Gaming Television 1979 WORKS !!,6999,Pre-Owned,3995,False,
"Sceptre 50"" Class 4K UHD LED TV U515CV-U",33898,Brand New,0,False,0
"Sony Trinitron KV-24FS100 24"" CRT TV Retro Gaming Television - No Remote",12499,Pre-Owned,,False,
Toshiba 19A25 19” CRT TV Color Television Brand New In The Box retro gaming,20250,Brand New,4999,False,
Led Tv Flat Screen Television 19 Inch With Remote Class HD 720 HDMI USB VGA,10999,Brand New,0,False,
"Toshiba 55"" LED TV 4K Ultra HD Fire TV Edition 55LF621U2",30000,Brand New,,False,
"LG UP8000 50"" HDR 4K Ultra HD Smart LED TV - 2021 Model",47699,Brand New,0,False,0
Shrek CRT TV Television with Remote Ultra Rare Gaming ,270000,Pre-Owned,2000,False,0
"LG UP8000 43"" HDR 4K Ultra HD Smart LED TV - 2021 Model",39699,Brand New,0,False,0
"Trexonic Portable Rechargeable 14 Inch LED TV with HDMI, SD/MMC, USB, VGA, AV In",6500,Refurbished,2435,False,69
"VIZIO D-Series D24F-G1 24"" Class Full 1080p HD Smart LED TV",14699,New (Other),0,True,249
"14"" Portable LED TV | USB, SD, HDMI | 12 Volt AC/DC, Rechargeable Battery, Radio",13999,Brand New,0,False,
TRX-14D 14” Portable Widescreen LED TV w 12V HDMI SD USB VGA AV Input Remote,7760,Refurbished,0,True,
"Brand NEW Sceptre 50"" Class 4K UHD LED TV U515CV-U - FREE SHIP",28999,Brand New,0,False,0
"Sceptre 65"" Class 4K UHD LED TV HDR",58000,Brand New,0,False,0
"Sceptre 50"" Class 4K UHD LED TV U515CV-U",34599,Brand New,0,False,
Samsung 4K Ultra HD Smart LED TV (2020 Model) - Choose Size,4499999500,Brand New,0,True,
"Best Seller. 40"" Class FHD (1080P) LED TV (X405BV-FSR)",18300,Brand New,0,False,0
"LG UP8000 55"" HDR 4K Ultra HD Smart LED TV - 2021 Model",57900,Brand New,0,False,0
New ListingPhilips TV 32-Inch Class HD 720P Smart Roku LED Television NEW Sealed,19000,Brand New,2500,False,
"Venturer KLV3915 15.4"" Undercabinet Kitchen LCD TV with DVD Player - *No HDMI*",13999,Brand New,0,False,
New ListingSAMSUNG UN58TU7000F 58-Inch Class HDR 4K UHD Smart LED TV Smart TV-New,39900,Brand New,,False,
TREXONIC 12” LIGHTWEIGHT PORTABLE RECHARGEABLE LED TV HDMI AV SD USB VGA TR-D12,7270,Refurbished,0,True,0
Vintage Montgomery Ward B&W Solid State CRT TV Retro Gaming Television 80s WORKS,2995,Pre-Owned,3995,False,0
"Samsung AU8000 65"" 8-Series 4K Crystal UHD HDR Smart LED TV (2021)",72790,Brand New,0,False,0
"TCL 55S435 55"" 4K Ultra HD HDR Roku Smart LED TV",46900,Brand New,0,False,247
26 Inch Led Television NIB,16500,Brand New,0,False,
Insignia NS-24DF310NA21 24 inch 720p HD Smart LED TV!,8300,Brand New,999,False,
"Bolva 65"" 4K Ultra HD LED TV | 4 HDMI",52990,Brand New,0,False,
"Hello Kitty 19"" Class 720p 60Hz LED TV/Monitor - Black/Pink/White (KT2219MBY)",9999,Brand New,,False,
"NIB Magnavox 13MT143S 13"" 480i SDTV CRT Television Retro Gaming TV 2003 Remote",19999,Brand New,0,False,
"Magnavox MSD520FE 20"" Flat Screen CRT Retro Video Game TV DVD Combo NEW!",19999,New (Other),9610,False,
Disney Cars 13 Inch CRT TV/DVD Player Lightning McQueen - WORKS ,9999,Pre-Owned,2350,False,0
Flatscreen TV Bedroom Dorm Garage Tube Television Screen Gaming Portable LED USB,22297,Brand New,0,False,
"TCL 50S434 - 50"" 4-Series 4K Ultra HD HDR Android  Smart LED TV | 3 HDMI",39890,Brand New,0,False,
"Spongebob 13” CRT TV with Built In DVD/CD Player BRAND NEW, SEALED",89999,Brand New,,False,
"Suncast 55"" Outdoor Partial Shade 4K UHD LED TV  - Waterproof Remote and Mount",169900,Brand New,0,True,0
"Toshiba 13A25 13"" CRT TV Color Television BRAND NEW great for retro gaming",25000,Brand New,0,False,
New ListingTelevision Sylvania 13” CRT TV Model 6413TG NEVER USED BRAND NEW - PLEASE READ!,16899,Brand New,0,False,
"New ListingLG 24"" Class 24LF454B (720P) HD LED TV ",9900,New (Other),2234,False,
"Samsung AU8000 50"" 4K Ultra HD HDR Smart LED TV - 2021 Model",52799,Brand New,0,False,0
"New ListingSanyo 13” CRT TV MODEL AVM-1307 Tested & Working, New Open Box, Read Description",15000,Brand New,5000,False,
Suncast 43 Inch Outdoor 4K UHD LED TV with HDR Bundle,109800,Brand New,0,True,0
"ORION 13"" TV1334 TV CRT Television Monitor CRT Retro Gaming w/remote Excellent",6900,Pre-Owned,5060,False,
"RCA 9"" CRT Television TV  White  Retro Gaming Tube",8750,Pre-Owned,0,False,
"Lot of (1) Vizio 65"" Flatscreen TV",9995,Pre-Owned,,False,
"Working 1996 Samsung GX Gaming CRT Television 13"" TV GXE-1395 All Speakers Work",18000,Pre-Owned,10630,False,
"SpongeBob SquarePants 13"" CRT Television Retro Gaming TV Emerson *WORKS*",7999,Pre-Owned,,False,0
"20"" Sony KV-20V80 Trinitron Color CRT TV Retro Gaming Television Test Works",24999,Pre-Owned,3567,False,0
Prism portable digital LCD TV,5000,Pre-Owned,0,False,
"Sylvania 6509DD 9"" CRT Television TV/DVD Combo w/ Remote Retro gaming WORKS 12v",9999,Pre-Owned,5000,True,
Sony KV-34XBR800 Trinitron 1080i CRT Television HDTV GAMING no remote,24999,Pre-Owned,,False,
"RCA 13"" CRT TV Television Secureview Prison Issue Clear Retro Gaming Working",12300,Pre-Owned,3978,False,0
SpongeBob SquarePants Emerson CRT TV Television 13” SB315 - No Remote,12000,Pre-Owned,14285,False,
"Lot of (2) Flat Screen TVs -- LG 55"" and Samsung 55""",21995,Pre-Owned,,False,
SONY Trinitron KV-13FM13 13” Flat Tube CRT TV Retro Gaming Television w/Remote,14999,Pre-Owned,12670,False,
Suncast 43 Inch Outdoor 4K UHD LED TV with HDR,99800,Brand New,0,True,0
"Suncast 65"" Outdoor Partial Shade 4K UHD LED TV - Waterproof Remote & Mount",219999,Brand New,0,False,0
,,,,False,
Sony BRAVIA BX 300 Series 32-Inch LCD TV Used KDL-32BX300,11500,Pre-Owned,,False,0
"Hello Kitty 19"" Inch TV KT2219 Flat Screen LCD Pink RARE w/ Remote Works! 2012",14999,Pre-Owned,9290,False,
"Supersonic SC-1911 19"" 720p LED TV, AC/DC Compatible with RV/Boat",28202,Brand New,0,False,
"GPX KCL8806DT 7"" HD LCD Television",7475,Pre-Owned,6750,True,
"Rare 12"" Sony KV-1223R Trinitron Color CRT TV Retro Gaming Television w/ Remote",19995,Pre-Owned,0,False,
"GE 35GT720 35"" Retro Gaming Color CRT TV Television ",12935,Pre-Owned,,False,
"Lot of (7) Flatscreen  60 INCH TV's (3)Vizio 60"" E Series,2-Sharp 60, 2-LG 60""",69900,Pre-Owned,,False,
"SONY Trinitron 8"" CRT TV 1992 Retro Gaming Input Tested KV-8AD11 Portable Cabin ",10999,Pre-Owned,3798,False,
"Clear Tech 13"" Inch LED TV Television CTTVLED13 HDMI AV Gaming See Through Clear",6647,Pre-Owned,0,True,
"Panasonic PV-DF2035 Television 20"" VCR DVD Combo TV VHS Player 2005 Flat Screen",34999,Pre-Owned,,False,
